epoch,distortion_loss,accuracy
0,0.05117860808968544,0.544
1,0.051347970962524414,0.5582
2,0.04910317435860634,0.6024
3,0.04872381314635277,0.6379
4,0.04831509292125702,0.6469
5,0.048377856612205505,0.6404
6,0.04809246584773064,0.6459
7,0.04764295741915703,0.6581
8,0.047533921897411346,0.6542
9,0.04735972359776497,0.654
10,0.047150734812021255,0.6615
11,0.047075770795345306,0.6736
12,0.04675662890076637,0.6759
13,0.047306809574365616,0.6794
14,0.04671739786863327,0.6791
15,0.04698355123400688,0.6593
16,0.04790208116173744,0.6884
17,0.04675276577472687,0.6756
18,0.046496544033288956,0.6757
19,0.04664137586951256,0.6914
20,0.04595540463924408,0.7014
21,0.04593077674508095,0.7054
22,0.04584681615233421,0.711
23,0.04586562141776085,0.7152
24,0.045953378081321716,0.7076
