epoch,distortion_loss,accuracy
0,0.05385062098503113,0.7441
1,0.05317061021924019,0.8657
2,0.052736394107341766,0.8871
3,0.05268581584095955,0.8996
4,0.05249067395925522,0.9126
5,0.05233431234955788,0.921
6,0.05196676030755043,0.9178
7,0.051420457661151886,0.9374
8,0.05207332596182823,0.9436
9,0.051343005150556564,0.9324
10,0.05140743404626846,0.9432
11,0.0512978732585907,0.9449
12,0.05071384832262993,0.9331
13,0.05066189914941788,0.9411
14,0.05092018470168114,0.9398
15,0.05087989568710327,0.9414
16,0.050446853041648865,0.9472
17,0.05069364234805107,0.9457
18,0.050571002066135406,0.9466
19,0.050354886800050735,0.9525
20,0.04978971928358078,0.9553
21,0.049731988459825516,0.9552
22,0.049846481531858444,0.9598
23,0.049664970487356186,0.9513
24,0.049466025084257126,0.955
