epoch,distortion_loss,accuracy
0,0.055444274097681046,0.7684
1,0.05367296561598778,0.8951
2,0.05381832644343376,0.9101
3,0.052954643964767456,0.9235
4,0.053272247314453125,0.9275
5,0.05264538899064064,0.9204
6,0.052786365151405334,0.935
7,0.05240580812096596,0.9453
8,0.05225643888115883,0.9399
9,0.051961034536361694,0.9427
10,0.051726873964071274,0.9503
11,0.05170435830950737,0.9438
12,0.05231374874711037,0.9443
13,0.05132850259542465,0.9481
14,0.05106201395392418,0.9438
15,0.050755780190229416,0.9459
16,0.050777554512023926,0.9478
17,0.050595566630363464,0.9482
18,0.05051415413618088,0.9399
19,0.0506899394094944,0.9475
20,0.049913350492715836,0.9633
21,0.049700524657964706,0.9585
22,0.04983574151992798,0.9633
23,0.04956026002764702,0.9617
24,0.0496402345597744,0.9615
