epoch,distortion_loss,cross_entropy_loss
0,0.055444274097681046,0.6627377271652222
1,0.05367296561598778,0.4304434061050415
2,0.05381832644343376,0.39194920659065247
3,0.052954643964767456,0.33969610929489136
4,0.053272247314453125,0.3295176923274994
5,0.05264538899064064,0.345488578081131
6,0.052786365151405334,0.2856687307357788
7,0.05240580812096596,0.253658264875412
8,0.05225643888115883,0.27368873357772827
9,0.051961034536361694,0.25829923152923584
10,0.051726873964071274,0.24742956459522247
11,0.05170435830950737,0.2552977502346039
12,0.05231374874711037,0.24897044897079468
13,0.05132850259542465,0.2523319125175476
14,0.05106201395392418,0.26241883635520935
15,0.050755780190229416,0.25195544958114624
16,0.050777554512023926,0.24383847415447235
17,0.050595566630363464,0.24813653528690338
18,0.05051415413618088,0.26968953013420105
19,0.0506899394094944,0.248603954911232
20,0.049913350492715836,0.19972363114356995
21,0.049700524657964706,0.20966927707195282
22,0.04983574151992798,0.1977235972881317
23,0.04956026002764702,0.19829824566841125
24,0.0496402345597744,0.1997227519750595
