epoch,distortion_loss,cross_entropy_loss
0,0.0524381585419178,0.7439391016960144
1,0.05128100514411926,0.6508119702339172
2,0.04989749193191528,0.5902478098869324
3,0.049864158034324646,0.5896888375282288
4,0.049151744693517685,0.5306550860404968
5,0.049247220158576965,0.5089250802993774
6,0.04890904575586319,0.5295469164848328
7,0.04874534532427788,0.45233461260795593
8,0.0485265888273716,0.44565799832344055
9,0.048924557864665985,0.4452376961708069
10,0.048225969076156616,0.4218903183937073
11,0.048602186143398285,0.4399707317352295
12,0.04833562299609184,0.3947288393974304
13,0.04801280051469803,0.411607563495636
14,0.04815949499607086,0.39730823040008545
15,0.05021623522043228,0.3961397707462311
16,0.04803447425365448,0.3931274116039276
17,0.048018939793109894,0.3882792592048645
18,0.047863081097602844,0.3664877712726593
19,0.04813763499259949,0.38092339038848877
20,0.04755055904388428,0.3184141516685486
21,0.04732304811477661,0.30924639105796814
22,0.047269467264413834,0.2900463044643402
23,0.04746376350522041,0.32376691699028015
24,0.047148238867521286,0.29125770926475525
