epoch,distortion_loss,accuracy
0,0.05158380791544914,0.6294
1,0.051471780985593796,0.6726
2,0.04975772276520729,0.6918
3,0.049227796494960785,0.7009
4,0.049067605286836624,0.7135
5,0.04856805130839348,0.7385
6,0.04848286136984825,0.7301
7,0.048294514417648315,0.7326
8,0.048075392842292786,0.7598
9,0.04777131602168083,0.7627
10,0.047876469790935516,0.7337
11,0.047607820481061935,0.7677
12,0.0476362481713295,0.7675
13,0.047921210527420044,0.7606
14,0.04733360931277275,0.7852
15,0.04780116304755211,0.7795
16,0.047535061836242676,0.7941
17,0.047438956797122955,0.8036
18,0.04757312685251236,0.7948
19,0.04720194637775421,0.8081
20,0.046904053539037704,0.8216
21,0.046853892505168915,0.8197
22,0.04671120643615723,0.8198
23,0.046631697565317154,0.8217
24,0.04656871780753136,0.814
