epoch,distortion_loss,cross_entropy_loss
0,0.05167050659656525,0.22234144806861877
1,0.051095377653837204,0.21015490591526031
2,0.05072582885622978,0.20723073184490204
3,0.050773147493600845,0.20160268247127533
4,0.050662897527217865,0.2299283891916275
5,0.050583917647600174,0.21304120123386383
6,0.050915155559778214,0.20126667618751526
7,0.050533223897218704,0.22878535091876984
8,0.050787292420864105,0.2096511870622635
9,0.050643566995859146,0.21438905596733093
10,0.05052710697054863,0.21008358895778656
11,0.05043796822428703,0.2132907658815384
12,0.05051017925143242,0.21371690928936005
13,0.050432853400707245,0.20676222443580627
14,0.05051235109567642,0.21275316178798676
15,0.050445426255464554,0.2131696194410324
16,0.05041230097413063,0.2001223862171173
17,0.05044766142964363,0.20922508835792542
18,0.05036536604166031,0.20299279689788818
19,0.05051779747009277,0.19519896805286407
20,0.050303198397159576,0.20156627893447876
21,0.0502525269985199,0.2132737934589386
22,0.05022938549518585,0.21060973405838013
23,0.05006001889705658,0.20472469925880432
24,0.050087179988622665,0.20846141874790192
25,0.05016213282942772,0.20616205036640167
26,0.0501796118915081,0.21062426269054413
27,0.05018443614244461,0.20634208619594574
28,0.05027124658226967,0.22165356576442719
29,0.05015149712562561,0.21578827500343323
