epoch,distortion_loss,cross_entropy_loss
0,0.05139423534274101,0.20382927358150482
1,0.050910163670778275,0.20074418187141418
2,0.05074835568666458,0.20203649997711182
3,0.051217515021562576,0.1841403990983963
4,0.05069776996970177,0.20486551523208618
5,0.05112596973776817,0.20864738523960114
6,0.05097350478172302,0.21671201288700104
7,0.050519682466983795,0.19708488881587982
8,0.05080090090632439,0.21048395335674286
9,0.05039285868406296,0.21550677716732025
10,0.05054813623428345,0.19929243624210358
11,0.0508287213742733,0.19856782257556915
12,0.05055650323629379,0.20923353731632233
13,0.05047664791345596,0.20328417420387268
14,0.05020087584853172,0.18828131258487701
15,0.05055971071124077,0.20185056328773499
16,0.05125059559941292,0.19251421093940735
17,0.0507059320807457,0.1938970535993576
18,0.05046020820736885,0.20575553178787231
19,0.050732024013996124,0.19757366180419922
20,0.050180383026599884,0.1917438954114914
21,0.050139881670475006,0.19583065807819366
22,0.050184205174446106,0.19449102878570557
23,0.050238560885190964,0.19152414798736572
24,0.05030927434563637,0.1837933510541916
25,0.05018172785639763,0.17785359919071198
26,0.05024448782205582,0.18858173489570618
27,0.050245501101017,0.20435568690299988
28,0.05012564733624458,0.1869167983531952
29,0.050131361931562424,0.20691430568695068
