epoch,distortion_loss,accuracy
0,0.05491059273481369,0.7868
1,0.05387456715106964,0.9094
2,0.053356777876615524,0.928
3,0.05402558296918869,0.9253
4,0.05361362174153328,0.9378
5,0.0532158799469471,0.9399
6,0.053427569568157196,0.9427
7,0.05305258184671402,0.9458
8,0.053503189235925674,0.9502
9,0.05311478674411774,0.9556
10,0.05302323400974274,0.9524
11,0.0528910867869854,0.9581
12,0.05280386283993721,0.9519
13,0.053193699568510056,0.9553
14,0.05297207459807396,0.9602
15,0.05290883034467697,0.9643
16,0.05253329873085022,0.958
17,0.05327018350362778,0.9633
18,0.05259023979306221,0.9588
19,0.05344095453619957,0.9614
20,0.051948416978120804,0.9682
21,0.05188930034637451,0.9711
22,0.05194028839468956,0.9713
23,0.051812976598739624,0.9706
24,0.051823753863573074,0.9709
