epoch,distortion_loss,cross_entropy_loss
0,0.05491059273481369,0.6505505442619324
1,0.05387456715106964,0.40152502059936523
2,0.053356777876615524,0.33444392681121826
3,0.05402558296918869,0.32068461179733276
4,0.05361362174153328,0.28817009925842285
5,0.0532158799469471,0.2700856029987335
6,0.053427569568157196,0.2581869065761566
7,0.05305258184671402,0.2552371621131897
8,0.053503189235925674,0.23854267597198486
9,0.05311478674411774,0.22286786139011383
10,0.05302323400974274,0.23755472898483276
11,0.0528910867869854,0.21351498365402222
12,0.05280386283993721,0.22510646283626556
13,0.053193699568510056,0.22393226623535156
14,0.05297207459807396,0.19963209331035614
15,0.05290883034467697,0.19947035610675812
16,0.05253329873085022,0.1998666524887085
17,0.05327018350362778,0.18165460228919983
18,0.05259023979306221,0.2006324976682663
19,0.05344095453619957,0.1915367692708969
20,0.051948416978120804,0.16195662319660187
21,0.05188930034637451,0.15307340025901794
22,0.05194028839468956,0.15493075549602509
23,0.051812976598739624,0.15257850289344788
24,0.051823753863573074,0.15512120723724365
