epoch,distortion_loss,accuracy
0,0.05155964940786362,0.5071
1,0.0492180772125721,0.5537
2,0.048868052661418915,0.5507
3,0.04834071546792984,0.567
4,0.048031970858573914,0.5656
5,0.04769817739725113,0.5877
6,0.04778985306620598,0.5797
7,0.04736416041851044,0.5788
8,0.04726080223917961,0.5863
9,0.04720006510615349,0.5962
10,0.04732535779476166,0.5808
11,0.04712263494729996,0.5776
12,0.04698086902499199,0.5894
13,0.04698711261153221,0.5867
14,0.04697488993406296,0.598
15,0.04678421840071678,0.5948
16,0.04689886048436165,0.5922
17,0.046704765409231186,0.5974
18,0.04687761515378952,0.5897
19,0.04666270688176155,0.5953
20,0.04610437899827957,0.6056
21,0.04611039534211159,0.6016
22,0.04591430723667145,0.6131
23,0.04597092047333717,0.6084
24,0.046112027019262314,0.609
