epoch,distortion_loss,accuracy
0,0.05245131626725197,0.7611
1,0.051948633044958115,0.8078
2,0.050972964614629745,0.8724
3,0.05073859170079231,0.8867
4,0.05061844736337662,0.8797
5,0.050165802240371704,0.8994
6,0.05030412971973419,0.893
7,0.04979734867811203,0.8878
8,0.0491015650331974,0.8926
9,0.049247074872255325,0.8942
10,0.049067363142967224,0.8867
11,0.04923633486032486,0.8915
12,0.04856245219707489,0.9041
13,0.04895847290754318,0.9072
14,0.048453785479068756,0.8999
15,0.048679549247026443,0.9131
16,0.04909845069050789,0.9094
17,0.04834413528442383,0.9058
18,0.04850021377205849,0.9163
19,0.048507459461688995,0.9044
20,0.04796845093369484,0.9253
21,0.04755651578307152,0.9238
22,0.04764040559530258,0.935
23,0.04771304503083229,0.936
24,0.04756821319460869,0.931
