epoch,distortion_loss,cross_entropy_loss
0,0.0516156367957592,0.2573195695877075
1,0.05102179944515228,0.22592763602733612
2,0.050886478275060654,0.20851492881774902
3,0.05102850869297981,0.24523991346359253
4,0.05085665360093117,0.20241303741931915
5,0.050700511783361435,0.22901551425457
6,0.05056224390864372,0.22358812391757965
7,0.050586212426424026,0.20548878610134125
8,0.050675518810749054,0.21413685381412506
9,0.05055535212159157,0.2228820025920868
10,0.05094476044178009,0.22456839680671692
11,0.05121498182415962,0.18366530537605286
12,0.05059844255447388,0.22663088142871857
13,0.050488971173763275,0.2348768562078476
14,0.050555240362882614,0.22969603538513184
15,0.050313401967287064,0.20110748708248138
16,0.05040881037712097,0.21977031230926514
17,0.05035676062107086,0.21792152523994446
18,0.050340890884399414,0.20801891386508942
19,0.050645459443330765,0.19031572341918945
20,0.05036437138915062,0.20599181950092316
21,0.050270892679691315,0.19979217648506165
22,0.05024205893278122,0.21754537522792816
23,0.05015905573964119,0.19909723103046417
24,0.05010412633419037,0.20660997927188873
25,0.05035609006881714,0.21741227805614471
26,0.05013355612754822,0.2075170874595642
27,0.050305917859077454,0.19478356838226318
28,0.05014217644929886,0.2100811004638672
29,0.050183989107608795,0.20383629202842712
