epoch,distortion_loss,perception_loss
0,0.03946978598833084,2.557445526123047
1,0.03660587593913078,2.543728828430176
2,0.036288194358348846,2.555208206176758
3,0.036200497299432755,2.4466381072998047
4,0.03606519103050232,2.417142868041992
5,0.035915590822696686,2.4589550495147705
6,0.03603480011224747,2.5531675815582275
7,0.03616172447800636,2.521794080734253
8,0.035255659371614456,2.6628105640411377
9,0.03612709045410156,2.5059814453125
10,0.03564453125,2.617666721343994
11,0.03609393537044525,2.5595011711120605
12,0.035940881818532944,2.572303056716919
13,0.03577890992164612,2.435495376586914
14,0.03534804657101631,2.6328413486480713
15,0.035525768995285034,2.627729892730713
16,0.03558633476495743,2.492347240447998
17,0.035248175263404846,2.6606199741363525
18,0.035431597381830215,2.7100021839141846
19,0.03537930175662041,2.565852642059326
20,0.034833118319511414,2.629152297973633
21,0.034990306943655014,2.577815055847168
22,0.034819748252630234,2.625932455062866
23,0.03514549508690834,2.5896992683410645
24,0.0347926989197731,2.6577088832855225
25,0.03476354107260704,2.6887757778167725
26,0.03496818244457245,2.5682010650634766
27,0.03486647829413414,2.5506129264831543
28,0.034648552536964417,2.602104902267456
29,0.03475094586610794,2.587355136871338
