epoch,distortion_loss,perception_loss
0,0.052165526896715164,0.6531442999839783
1,0.04832395911216736,0.9573266506195068
2,0.04760736599564552,1.0186641216278076
3,0.047267328947782516,1.0020925998687744
4,0.047063443809747696,1.0168230533599854
5,0.045883603394031525,1.0620884895324707
6,0.046302128583192825,0.9014363288879395
7,0.0470629446208477,0.9085353016853333
8,0.044904861599206924,1.1209577322006226
9,0.04541780427098274,1.043025255203247
10,0.04571085795760155,1.0563167333602905
11,0.045496564358472824,1.1069284677505493
12,0.04475432261824608,1.1161173582077026
13,0.04485003650188446,1.1194474697113037
14,0.045007918030023575,1.1197996139526367
15,0.04578101262450218,1.075142502784729
16,0.04470724239945412,1.2327914237976074
17,0.044688861817121506,1.0692490339279175
18,0.045801181346178055,1.0100079774856567
19,0.04495931789278984,1.1412721872329712
20,0.043619994074106216,1.1473640203475952
21,0.043965842574834824,1.1022447347640991
22,0.043739788234233856,1.0874665975570679
23,0.0438520610332489,1.1067394018173218
24,0.043970875442028046,1.0456491708755493
25,0.044141605496406555,1.0679516792297363
26,0.04339700937271118,1.1274429559707642
27,0.04394928738474846,1.0874347686767578
28,0.04367833584547043,1.0880441665649414
29,0.044092871248722076,1.0490069389343262
