epoch,distortion_loss,perception_loss
0,0.053282011300325394,5.739439964294434
1,0.05237584188580513,6.487478733062744
2,0.052708957344293594,6.392386436462402
3,0.05190751701593399,6.286455154418945
4,0.05154568329453468,6.3004279136657715
5,0.051029037684202194,6.518440246582031
6,0.050901979207992554,6.3458099365234375
7,0.050755467265844345,6.141178131103516
8,0.05055675655603409,6.466821670532227
9,0.050432004034519196,6.05647087097168
10,0.0499972403049469,6.177101135253906
11,0.05004183202981949,6.484177112579346
12,0.0496436282992363,6.1373796463012695
13,0.04961855337023735,6.251467704772949
14,0.049602873623371124,6.239290237426758
15,0.04956483468413353,6.25493049621582
16,0.049616739153862,6.126507759094238
17,0.04921596124768257,6.314489364624023
18,0.0491381473839283,6.18887186050415
19,0.04942949116230011,6.10046911239624
20,0.04866434633731842,6.159187316894531
21,0.04856114462018013,6.30780553817749
22,0.04832686483860016,6.184391021728516
23,0.04860171303153038,6.298391819000244
24,0.04851241782307625,6.20717191696167
25,0.04868395999073982,6.291444778442383
26,0.04843989759683609,6.266905307769775
27,0.048721931874752045,6.27287483215332
28,0.04846792295575142,6.259848117828369
29,0.04836751148104668,6.203840255737305
